CERT,NAME,CITY,STNAME,ZIP,ADDRESS,BKCLASS,CHARTER,ACTIVE,INSDATE,REGAGENT,ASSET,DEP,LATITUDE,LONGITUDE,WEBADDR
10352,Crowell State Bank,Crowell,Texas,79227,100 E Commerce St,SM,0,1,01/01/1934,,53090,46625,33.9844180010187,-99.7247049769967,WWW.CROWELLSTATEBANK.COM
10363,Citizens and Farmers Bank,West Point,Virginia,23181,415 14th Street,NM,0,1,01/01/1934,,2686839,2306041,37.5376940088056,-76.7989750284697,www.cffc.com
10374,Banner Banks,Birnamwood,Wisconsin,54414,416 Main St,NM,0,1,01/01/1934,,123441,106594,44.9316510068866,-89.20870404188,WWW.BANNERBANKS.COM
10378,The Bank of New Glarus,New Glarus,Wisconsin,53574,501 1st St,NM,0,1,01/01/1934,,789029,604282,42.815234997689,-89.634185037405,www.thebankofnewglarus.bank
10380,Oostburg State Bank,Oostburg,Wisconsin,53070,905 Center Ave,NM,0,1,01/01/1934,,412219,362145,43.6228589870142,-87.7969919740208,www.oostburgstate.bank
10382,Farmers & Merchants Bank & Trust,Marinette,Wisconsin,54143,1644 Ludington St,NM,0,1,01/02/1934,,170339,143769,45.0998149929102,-87.6293320337447,http://www.fmmarinette.com
10383,State Bank Financial,La Crosse,Wisconsin,54601,401 Main St,SM,0,1,01/01/1934,,517512,439496,43.8124800165242,-91.2507850170372,www.statebankfinancial.bank
10384,Waumandee State Bank,Waumandee,Wisconsin,54622,S2021 County Road U,NM,0,1,01/01/1934,,342286,289531,44.3022300090186,-91.7069120107716,http://www.waumandeebank.com
1040,Midland States Bank,Effingham,Illinois,62401,1201 Network Centre Dr,SM,0,1,01/01/1934,,6902904,5610152,39.145854375859,-88.523855949065,www.midlandsb.com
10407,The Farmers State Bank of Brush,Brush,Colorado,80723,200 Clayton St,NM,0,1,01/01/1934,,116208,86669,40.2554720082579,-103.623559979547,www.fsbbrushakron.com
10434,State Bank of Graymont,Graymont,Illinois,61743,204 Main St,NM,0,1,01/01/1934,,307974,268231,40.8772039929764,-88.7766569986831,www.sbofgray.com
10437,First State Bank of Olmsted,Olmsted,Illinois,62970,185 N Front Street,NM,0,1,01/01/1934,,77782,68273,37.1813212689602,-89.0884253439124,www.firststatebank-olmsted.com
10438,Raritan State Bank,Raritan,Illinois,61471,106 E Main St,NM,0,1,01/01/1934,,247326,218232,40.6832446299209,-90.9046014044716,www.raritanstatebank.com
10446,"Frederick Community Bank, The",Paxton,Illinois,60957,106 N Market St,NM,0,1,01/01/1934,,187435,166258,40.4611629901739,-88.0976449735917,www.tfcbanks.com
10458,Farmers State Bank & Trust Co.,Mount Sterling,Illinois,62353,129 W Main St,NM,0,1,01/01/1934,,128573,116551,39.9862210126529,-90.7659279605215,www.fsb-tc.com
10460,Town & Country Bank Midwest,Quincy,Illinois,62301,524 N 30th St,NM,0,1,01/01/1934,,219093,184994,39.937605471321,-91.367133544463,www.tcbankmidwest.com
10463,Middletown State Bank,Middletown,Illinois,62666,100 N Madison St,NM,0,1,01/01/1934,,45363,38068,40.1005350007212,-89.59083400182,http://middletownstatebank.com
10464,Federated Bank,Onarga,Illinois,60955,107 N Chestnut St,NM,0,1,01/01/1934,,128364,107753,40.7152209899925,-88.0073009654914,www.federatedbank.com
10467,The Gifford State Bank,Gifford,Illinois,61847,304 S Main St,NM,0,1,01/01/1934,,193314,166232,40.3055519938029,-88.0217019971561,www.giffordbank.com
10469,Farmers & Merchants Bank of Hutsonville,Hutsonville,Illinois,62433,108 S Main St,NM,0,1,01/01/1934,,51980,42210,39.1094212252732,-87.6563737756112,
1047,Bank & Trust Company,Litchfield,Illinois,62056,401 N Madison St,NM,0,1,01/01/1934,,626039,522351,39.177522002336,-89.656856995847,www.banktr.com
10471,Camp Grove State Bank,Camp Grove,Illinois,61424,26 Main Street,SM,0,1,01/01/1934,,58549,43075,41.0782472987911,-89.6340970145065,www.campgrovestatebank.com
10473,Ipava State Bank,Lewistown,Illinois,61542,1203 S Main St,NM,0,1,01/01/1934,,214158,176545,40.387506932201,-90.154810608437,www.ipavastatebank.com
10474,Citizens State Bank,Lena,Illinois,61048,102 W Main St,NM,0,1,01/01/1934,,447664,400274,42.3779029969023,-89.8241830011011,http://www.csbnow.com
1049,First National Bank of Steeleville,Steeleville,Illinois,62288,400 W Broadway,N,14437,1,01/01/1934,,277537,232483,38.0070771603663,-89.6617332783359,www.bankatfnb.com
10492,Farmers and Merchants Savings Bank,Iowa City,Iowa,52246,2235 Mormon Trek Blvd,NM,0,1,01/01/1934,,120977,100027,41.636483176442,-91.568364264243,www.fmbankonline.com
10494,Mount Vernon Bank and Trust Company,Mount Vernon,Iowa,52314,206 1st St Sw,NM,0,1,01/01/1934,,181263,151559,41.922859992796,-91.4185959992086,www.mountvernonbank.com
10497,Iowa State Bank,Sac City,Iowa,50583,500 Audubon St,NM,0,1,01/01/1934,,200438,175633,42.4212950199941,-94.9898640136187,https://www.myisb.bank
105,Bank of Cave City,Cave City,Arkansas,72521,137 S Main St,SM,0,1,01/01/1934,,192461,169756,35.9399853720981,-91.5484305897487,www.bankofcavecity.com
10500,Farmers Savings Bank,Wever,Iowa,52658,3542 168th St,NM,0,1,01/01/1934,,133367,106842,40.7140639939877,-91.2301800359181,www.fsbwever.com
10503,The First State Bank,Ness City,Kansas,67560,206 N Pennsylvania Ave,SM,0,1,01/01/1934,,84124,74442,38.4552580157552,-99.90475303489,http://www.fsbnesscity.com
10505,The Kansas State Bank,Ottawa,Kansas,66067,236 N Main St,NM,0,1,01/01/1934,,183366,163240,38.6199329926725,-95.2689269908093,http://www.MyKansasStateBank.com
10520,The Citizens Bank,Morehead,Kentucky,40351,114 W Main St,NM,0,1,01/01/1934,,225225,176662,38.1804330126291,-83.4356770307923,www.tcbanytime.com
10523,Bank of Commerce & Trust Co.,Crowley,Louisiana,70526,326 N Avenue G,NM,0,1,01/01/1934,,365649,323955,30.212493097312,-92.371082600671,https://www.bankofcommerceandtrust.com
10528,"Exchange Bank and Trust Company, Natchitoches, Louisiana",Natchitoches,Louisiana,71457,700 Front St,NM,0,1,01/01/1934,,183619,162932,31.7617860118681,-93.0863359817706,www.exchange-bank.com
10531,Citizens Progressive Bank,Winnsboro,Louisiana,71295,3540 Front St,NM,0,1,01/01/1934,,270718,236684,32.1743230019576,-91.7258820178573,cpbonline.com
10532,CLB The Community Bank,Jonesville,Louisiana,71343,301 Mound St,NM,0,1,01/01/1934,,322360,286044,31.6261679919558,-91.8135599940147,www.clbbank.com
10533,Winnsboro State Bank & Trust Company,Winnsboro,Louisiana,71295,3875 Front St,NM,0,1,01/01/1934,,381327,332275,32.1634180201979,-91.719041965771,WWW.WINNSBOROBANK.COM
10561,Arcadian Bank,Hartland,Minnesota,56042,601 Broadway St,NM,0,1,01/01/1934,,235865,200832,43.803965008726,-93.487088015995,www.arcadian.bank
10567,United Minnesota Bank,New London,Minnesota,56273,105 Central Ave E,NM,0,1,01/01/1934,,49764,45599,45.3016060010072,-94.9420480220309,www.umbnl.com
10571,Farmers and Merchants State Bank of Alpha,Alpha,Minnesota,56111,210 Main St N,NM,0,1,01/01/1934,,43675,37561,43.639147539455,-94.871299730088,famstatebankofalpha.com
10576,First Southeast Bank,Harmony,Minnesota,55939,3 Main Ave N,NM,0,1,01/01/1934,,149766,110666,43.5545150020879,-92.0102840159136,http://www.firstsoutheastbank.com
1058,Midwest BankCentre,Lemay,Missouri,63125,2191 Lemay Ferry Rd,SM,0,1,01/01/1934,,2982595,2487454,38.5247100044623,-90.2984829667483,www.midwestbankcentre.com
10594,Bank of Franklin,Meadville,Mississippi,39653,9 Main St E,NM,0,1,01/01/1934,,252140,211139,31.472606821143,-90.8892594878325,www.bankoffranklin.com
10595,Community First Bank,Butler,Missouri,64730,915 W Fort Scott St,NM,0,1,01/01/1934,,249010,223739,38.256889722061,-94.3464420686189,www.communityfirstbank.net
